,English_Text,English_Location,Hawaiian_Text,Hawaiian_Location,Marshallese_Text,Marshallese_Location,Chuukese_Text,Chuukese_Location,Pohnpeian_Text,Pohnpeian_Location,Tongan_Text,Tongan_Location,Kosraean_Text,Kosraean_Location
17,LCHC,"(491.500155520826, 26.315278241225755)",Nā Hana Lawelawe no nā Kānaka,"(333.84000000000003, 439.42820400000005)",Jikin Taktõ eo an Rūtto: Mande-Bolaide,"(33.24, 388.6048)",Mwichen Aninisin Pechakuneno -,"(329.68, 301.8848)",Eker Nempe wet: (808) 495-5113,"(329.71, 502.2604)",*’E ala liliu e ngaahi houá mo e ngaahi ngāué,"(33.119749999999954, 29.675951999999995)",Kahsruh nuhke Mukwikwi,"(333.91, 607.3)"
18,,,Kuhikuhi Kumu Waiwai,"(329.64, 402.817155)",Jikin Taktõ eo an Ajiri: Mande,"(33.24, 371.5448)",Chiechiech kena,"(365.02, 229.0448)",Kak Pil Kohdohte Pidelong,"(387.07, 484.86039999999997)",‘Oku ‘i ai ha ngaahi fehu’i?,"(388.08, 71.18245199999998)",Ao: Monday nuhke Sunday,"(334.39, 560.14)"
19,,,Lā‘au Kānaka Makua: Pō‘akahi – Pō‘alima,"(40.320000000000014, 388.17715499999997)",Integrated Health: Tuje,"(33.24, 354.5048)",Nenien:,"(127.88, 122.71520000000001)",Se Ale Insurance Ahpw Kaidehn Anahn Ehu,"(340.15, 466.86039999999997)",LCHC,"(423.0035, 31.942451999999996)",9:00 Litutacng nuhke 4:00 Infulwacn lwen,"(334.39, 541.51)"
20,,,"Kauleo Kāko‘o: No ke Kanaka, ka Hui, a me ka","(329.64000000000004, 387.097155)",Taktõ in Ñi: Wenje,"(33.24, 337.4648)",*Awa kena me pwan angangen aninis kena repwene fofor ngeni asiwinino,"(33.24, 28.5608)",Sawas ong Aramas Laud oh,"(341.71, 442.3996)",,,Kom Kuh In Tuhkuh Pacna,"(382.87, 505.75)"
21,,,Lapa‘au Keiki: Pō‘akahi,"(40.320000000000014, 372.69715499999995)",Rej Ebõk Injuran Bõtab Ejab Mennin Aikuj an Wõr,"(319.3, 472.3048)",LCHC,"(486.88, 32.5248)",Iren Kaweid ong Sawas kan,"(329.71, 401.3404)",,,Kuht Eis Insurance Tuh Tiac Enenuh SE,"(344.83, 483.43)"
22,,,Nā Nīnau Like ‘Ole o ke Olakino: Pō‘alua,"(40.320000000000014, 357.21715499999993)",Jibañ ñan Rūtto & Jodikdik,"(340.06, 444.7552)",Kapaseis kena? Kori (808) 495-5113,"(353.2, 59.0448)",Sawas en Kihda Kaweid: Emenemen,"(329.71, 384.30039999999997)",,,Kahsruh nuhsin Mwet,"(353.83, 453.31)"
23,,,Dental Care: Pō‘akolu,"(40.320000000000014, 341.7371549999999)",Melele in Kajinet kin Mennin Jibañ,"(321.94, 425.6248)",,,Sawas Kan Koaros ong Roson: Ni Are,"(40.32, 367.9604)",,,"Sang Kahs In Kahsruh: Mwet se mwet se,","(320.23, 389.71)"
24,,,‘Ohana,"(343.9200000000001, 371.737155)","Koonjel ñan Lelok Jibañ: Kajojo Armij,","(321.94, 408.58480000000003)",,,"Aramas, Pwihn Ehu, oh Peneinei","(343.99, 367.36039999999997)",,,"U in Mwet, ac Sucu","(334.39, 371.21)"
25,,,Ho‘omalu Lā‘au Lapa‘au,"(329.6400000000001, 356.25715499999995)","Kumi in Armij, im Baamle","(336.1, 391.5448)",,,Wie Ngih: Ni Esil,"(40.32, 350.9204)",,,Oakwuck nuhke Eisyacn Ono,"(320.23, 352.61)"
26,,,Kauka Kūlana No‘ono‘o,"(329.64000000000016, 340.77715499999994)",Lale Ien Ebõk Wūno,"(321.94, 374.4848)",,,Wasa:,"(132.86, 162.81728)",,,Kahsruh nuhke Mwe Nuhnak (Psychiatric),"(320.23, 334.01)"
27,,,Nā Hana Lawelawe Hei ‘Ai Lā‘au Pākela no ka,"(329.6400000000002, 325.1771549999999)",Jibañ ko ilo Wāween Lomnak,"(321.94, 357.4448)",,,Kosoandi en Wini Kan,"(329.71, 350.3204)",,,Kahsruh nuhsin Mwet Mas Ke Ono Kuluk,"(320.23, 315.41)"
28,,,Lā Wale nō,"(343.92000000000024, 309.6971549999999)",Jibañ ko ñan Jorrāān jen Kõjerbal Wūno,"(321.94, 340.4048)",,,Sawas Kan En Madamadau,"(329.71, 333.2804)",,,ma Tiac Muhta luun Acn in Ono,"(334.39, 296.81)"
29,,,"Nā Hui Kāko‘o Ola Pono – Ka Hana a nā Mākua,","(329.64000000000027, 294.2171549999999)",Kajur ilo an Rinañinmij Jab Deloñ Aujbitol,"(336.1, 323.3648)",,,Sawas Kan Ong Aramas Me Doadoahnkgi,"(329.71, 316.24039999999997)",,,U in Mwet Ma Tuhkweni Eis Kahsruh –,"(320.23, 278.21)"
30,,,Ho‘omalu Uluhua a me ka Maluhia o ka Mana‘o,"(343.9200000000003, 278.73715499999986)",Kumi in Jibañ kin Ainemmon im Ejmour -,"(321.94, 306.3248)",,,Wini Suwed Ahpw Sohte Mih Nan Wasahn,"(343.99, 299.2004)",,,"Nuhsin Pahpa Ninac, Karingihnyen","(334.39, 259.61)"
31,,,Nā Hoa Hana,"(394.08, 240.38844)","Nejnej, Lale Inebata & Jela Lomnak","(336.1, 289.2848)",,,Wini,"(343.99, 282.1604)",,,Nuhnak Fosrng ac Elyah,"(334.39, 241.01)"
32,,,Kahi:,"(136.1993, 124.53041763200001)",Jikin ko jej Jerbal Ibbeir,"(328.12, 243.6848)",,,Pwihn En Kihda Sawas En Mour Mwahu –,"(329.71, 265.12039999999996)",,,Partner lasr,"(371.35, 202.46)"
33,,,*Hiki ke loli nā hola a me nā hana lawelawe,"(33.11, 27.573452)",Jikin:,"(137.06, 123.2552)",,,Iangaht kan,"(386.71, 200.77040000000002)",,,*Ao ac kahsruh uh kuh na in eklac,"(32.069, 50.8934)"
34,,,Loa‘a nō ka nīnau? E kelepona i ka helu,"(334.56, 79.54257)",*Awa in jerbal in jibañ ko remaron oktak,"(33.24, 31.7146)",,,*Awa oh sawas kan kak wekila,"(32.594, 61.6564)",,,Oasr Kihsen Siyuck? Pahngon (808) 495-5113,"(330.91, 56.7936)"
35,,,LCHC,"(432.9206, 31.942451999999996)",Ewõr ke kajjitõk ko? Kall ae lok (808) 495-5113,"(326.5, 60.9048)",,,Mie Kalelapak? Eker (808) 495-5113,"(353.11, 68.5344)",,,"West Maui Health Services, Updated 10/18/23","(33.11, 16.168799999999997)"
36,,,,,LCHC,"(415.96, 32.5248)",,,"West Maui Health Services, Updated 10/18/23","(33.11, 16.168799999999997)",,,LCHC,"(378.07, 29.6304)"
37,,,,,,,,,LCHC,"(430.15, 32.3904)",,,,
