,English,Hawaiian,Marshallese,Chuukese,Pohnpeian,Tongan,Kosraean
10,Walk-Ins Welcome,Paipai ‘ia e Ho‘opa‘a i ka Hālāwai ,Nomba eo ñan Kebaak: (808) 495-5113 ,"Awan angang kena: Sarinfan - Raninfan 
9:00 AM – 4:00 PM 
Ia sipwe kokono ie: (808) 495-5113 ",Sawas kan ,"  Faito’o ki he Kakai Lalahí: Mōnite-Falaite 
  Longa’ifānaú: Mōnite 
  Mo’ui Fakalukufuá: Tūsite  
  Tokangaekina ‘o e Nifó: Pulelulu ",Kahsruh ma orek 
11,Insurance Accepted But Not Required,‘Ae ‘ia ka Po‘e Komo Wale mai ,Emõj Rõjañ Karõk Awa im Raan eo Kwõnaj Etal ,Chon Fetanenong Repwene Anisir ,  Sawas en Wini ong Aramas Laud: Ni Ed lel Ni ,"‘Oku Tali ‘a e Malu’i Mo’ui Leleí ka ‘Oku ‘ikai 
Tu’utu’unia 
Ngaahi Ngāue ma’a e Kakai 
Lalahí & To’utupú 
  Ngaahi Ma’unga Fakamatala Fakahinohinó ",  Ono luhn Mwet Mahtuh Monday nuhke 
12,"Adult & Youth Services
Resource Guidance    
Supportive Counseling: Individual,
Group, and Family    
Medication Management     
Psychiatric Services      
Outpatient Substance Use Disorder
Services
Wellness Support Groups – Parenting,
Stress Management & Mindfulness","‘Ae ‘ia ka ‘Inikua: Medicare, Medicaid a me ",Rej Karuwainene an Armij Kaju Itok ,Ra Asepa Insurens Nge Resapw Pwan Mochenino ,Are ,"  Tokoni Fale’i: Fakafo’ituitui, Kulupu mo e Fāmili 
  Pule’i ‘o e Faito’ó  
  Ngaahi Ngāue Tokoni Faka’atamaí 
  Ngaahi Ngāue Tokoni Va’a Ki Tu’a kia 
Kinautolu ‘Oku Palopalema ‘i Hono 
Ngāue’aki ‘o e Faito’o Konatapú ",Friday 
13,Partners,nā papa hana ‘inikua inoa kaulana (koe ke ,"Rej Ebõk Injuran Medicare, Medicaid ","Angangen Aninisin Aramas Nap 
& Enuwon Kena ",  Toahkte en seri kan: Ni Ed ,"  Ngaahi Kulupu Tokoni ki he Lelei Fakalukufuá - 
Tauhi ‘o e Fānaú, Pule’i e Mafasia e Fakakaukaú 
& Tokangaekina ‘o e Fakakaukaú ",  Taktuh luhn Tuhlihk: Monday 
14,"Location: 
Ākoakoa Place (just below
Lāhainā Civic Center)","Kaiser, Humana & Tricare) ","& im injuran ko relab (ijellokun Kaiser, ","  Amwenin Nenien Aninis 
  Counselin Aninis: Emon me emon, Mwich, ","Roson en Wiewia de 
Mwekimwekid en 
Aramas",Ngaahi Hoa Ngāué,  Kahsruh Nuhkewa nuhke Health: Tuesday 
15,*Hours and services subject to change,Nā Hana Lawelawe ,Humana & Tricare) ,"me pwan Family 
  Nemenemen Safei  
  Aninisin psychiatric 
  Angangen Aninisin Osupwangen Eaean ",Awa kan: Ni Ed lel Rahn Sarawi ,Feitu’ú: ,  Orek Us: Wednesday 
16,Questions? Call (808) 495-5113,"‘Ae ‘ia ka ‘Inikua, akā, ‘A‘ole Pono ",Jerbal in Jibañ ko ,Safeingaw ren Chon Semwen Nukun Pioin ,9:00 Ni Menseng lel 4:00 Ni Souwas , Civic Center) ,"Acn: 
Ākoakoa Place (acn ten liki 
Lāhainā Civic Center) "
17,"LCHC
Updated 10/18/23","Nā Hana Lawelawe no nā Kānaka 
Mākua a me nā ‘Ōpio ",  Jikin Taktõ eo an Rūtto: Mande-Bolaide ,"  Mwichen Aninisin Pechakuneno - 
Samesam me Inein, Nemenemen 
Mefingaw & Ekkiekieochun ",Eker Nempe wet: (808) 495-5113 ,"*’E ala liliu e ngaahi houá mo e ngaahi ngāué 
West Maui Health Services, Updated 10/18/23
Tongan","Kahsruh nuhke Mukwikwi 
luhn Mwet se "
18,,  Kuhikuhi Kumu Waiwai ,  Jikin Taktõ eo an Ajiri: Mande ,Chiechiech kena,Kak Pil Kohdohte Pidelong ,"‘Oku ‘i ai ha ngaahi fehu’i?  
Telefoni ki he (808) 495-5113 ",Ao: Monday nuhke Sunday 
19,,  Lā‘au Kānaka Makua: Pō‘akahi – Pō‘alima ,  Integrated Health: Tuje  ,"Nenien: 
Ākoakoa Place (ettiw won ewe 
an seni Lāhainā Civic Center) ",Se Ale Insurance Ahpw Kaidehn Anahn Ehu ,"LCHC 
Liliu Fakamuimuitahá 10/18/23 ","9:00 Litutacng nuhke 4:00 Infulwacn lwen 
Pahngohn nacmpuh inge: (808) 495-5113 "
20,,"  Kauleo Kāko‘o: No ke Kanaka, ka Hui, a me ka ",  Taktõ in Ñi: Wenje , ,"Sawas ong Aramas Laud oh 
Me Pwulopwul kan ",,Kom Kuh In Tuhkuh Pacna 
21,,  Lapa‘au Keiki: Pō‘akahi ,Rej Ebõk Injuran Bõtab Ejab Mennin Aikuj an Wõr ,"*Awa kena me pwan angangen aninis kena repwene fofor ngeni asiwinino
West Maui Health Services, Updated 10/18/23
Chuukese",  Iren Kaweid ong Sawas kan ,,Kuht Eis Insurance Tuh Tiac Enenuh SE 
22,,  Nā Nīnau Like ‘Ole o ke Olakino: Pō‘alua  ,Jibañ ñan Rūtto & Jodikdik ,"LCHC 
Asofono 10/18/23 ",  Sawas en Kihda Kaweid: Emenemen ,,"Kahsruh nuhsin Mwet 
Mahtuh ac Mwet Fuhsr 
  Kahs in Kahsruh nuhke Mwe Kahsruh uh "
23,,  Dental Care: Pō‘akolu ,  Melele in Kajinet kin Mennin Jibañ ,Kapaseis kena? Kori (808) 495-5113 ,  Sawas Kan Koaros ong Roson: Ni Are ,,"  Sang Kahs In Kahsruh: Mwet se mwet se, "
24,,‘Ohana ,"  Koonjel ñan Lelok Jibañ: Kajojo Armij, ",,"Aramas, Pwihn Ehu, oh Peneinei ",,"U in Mwet, ac Sucu "
25,,  Ho‘omalu Lā‘au Lapa‘au  ,"Kumi in Armij, im Baamle ",,   Wie Ngih: Ni Esil ,,  Oakwuck nuhke Eisyacn Ono 
26,,  Kauka Kūlana No‘ono‘o ,  Lale Ien Ebõk Wūno  ,,"Wasa: 
Ākoakoa Place (mih pahnangihn 
Lāhainā Civic Center) ",,  Kahsruh nuhke Mwe Nuhnak (Psychiatric) 
27,,  Nā Hana Lawelawe Hei ‘Ai Lā‘au Pākela no ka ,  Jibañ ko ilo Wāween Lomnak ,,  Kosoandi en Wini Kan  ,,  Kahsruh nuhsin Mwet Mas Ke Ono Kuluk 
28,,Lā Wale nō ,  Jibañ ko ñan Jorrāān jen Kõjerbal Wūno ,,  Sawas Kan En Madamadau ,,ma Tiac Muhta luun Acn in Ono 
29,,"  Nā Hui Kāko‘o Ola Pono – Ka Hana a nā Mākua, ",Kajur ilo an Rinañinmij Jab Deloñ Aujbitol ,,  Sawas Kan Ong Aramas Me Doadoahnkgi ,,  U in Mwet Ma Tuhkweni Eis Kahsruh – 
30,,Ho‘omalu Uluhua a me ka Maluhia o ka Mana‘o ,  Kumi in Jibañ kin Ainemmon im Ejmour - ,,Wini Suwed Ahpw Sohte Mih Nan Wasahn ,,"Nuhsin Pahpa Ninac, Karingihnyen "
31,,Nā Hoa Hana,"Nejnej, Lale Inebata & Jela Lomnak ",,Wini ,,Nuhnak Fosrng ac Elyah 
32,,"Kahi: 
‘Ākoakoa Place (ma kai iki o ka 
Lāhaina Civic Center) ",Jikin ko jej Jerbal Ibbeir,,"  Pwihn En Kihda Sawas En Mour Mwahu – 
Pwukoa en Pahpah oh Nohno, Apwalih 
Pwunod oh Kolehdi Madamadau Mwahu ",,Partner lasr 
33,,"*Hiki ke loli nā hola a me nā hana lawelawe 
West Maui Health Services, Updated 10/18/23 
Hawaiian","Jikin: 
Ākoakoa Place (ilalin wõt 
Lāhainā Civic Center) ",,Iangaht kan,,*Ao ac kahsruh uh kuh na in eklac
34,,"Loa‘a nō ka nīnau? E kelepona i ka helu 
(808) 495-5113", ,,*Awa oh sawas kan kak wekila,,Oasr Kihsen Siyuck? Pahngon (808) 495-5113 
35,,"LCHC
Ho‘oponopono ‘ia 10/18/23","*Awa in jerbal in jibañ ko remaron oktak
West Maui Health Services, Updated 10/18/23
Marshallese",,Mie Kalelapak? Eker (808) 495-5113 ,,"West Maui Health Services, Updated 10/18/23
Kosraean"
36,,,Ewõr ke kajjitõk ko? Kall ae lok (808) 495-5113 ,,"West Maui Health Services, Updated 10/18/23
Pohnpeian",,"LCHC 
Ahksasucyeyucklac ke October 18, 2023 "
37,,,"LCHC 
Emõj kõkkāāl melele ilo 10/18/23 ",,"LCHC 
Kakapwla ni October 18, 2023 ",,
38,,,,,,,
